device=cuda  bases=['dino', 'lejepa', 'visreg']  emb_dim=100  lam=5

################ base: DINO ViT-B/16 ################
  cached plain features: /home/pharris/sigreg/SuperSig/data/dtd_feats_dino_vitb16.pt
  cached aug bank: /home/pharris/sigreg/SuperSig/data/dtd_augfeats_dino_vitb16_a24.pt
--- [dino] ss[lam5]: SupCon + SIGReg on raw z ---
  [supcon+sigreg] epoch 1/120  supcon=5.8415  sigreg=0.3194
  [supcon+sigreg] epoch 2/120  supcon=5.3959  sigreg=0.1659
  [supcon+sigreg] epoch 3/120  supcon=5.1975  sigreg=0.1438
  [supcon+sigreg] epoch 4/120  supcon=4.9800  sigreg=0.1095
  [supcon+sigreg] epoch 5/120  supcon=4.8180  sigreg=0.0929
  [supcon+sigreg] epoch 6/120  supcon=4.6804  sigreg=0.0665
  [supcon+sigreg] epoch 7/120  supcon=4.5648  sigreg=0.0590
  [supcon+sigreg] epoch 8/120  supcon=4.4385  sigreg=0.0510
  [supcon+sigreg] epoch 9/120  supcon=4.3324  sigreg=0.0501
  [supcon+sigreg] epoch 10/120  supcon=4.2447  sigreg=0.0455
  [supcon+sigreg] epoch 11/120  supcon=4.1515  sigreg=0.0401
  [supcon+sigreg] epoch 12/120  supcon=4.0556  sigreg=0.0416
  [supcon+sigreg] epoch 13/120  supcon=3.9947  sigreg=0.0374
  [supcon+sigreg] epoch 14/120  supcon=3.9364  sigreg=0.0414
  [supcon+sigreg] epoch 15/120  supcon=3.8692  sigreg=0.0381
  [supcon+sigreg] epoch 16/120  supcon=3.8175  sigreg=0.0374
  [supcon+sigreg] epoch 17/120  supcon=3.7647  sigreg=0.0376
  [supcon+sigreg] epoch 18/120  supcon=3.7283  sigreg=0.0332
  [supcon+sigreg] epoch 19/120  supcon=3.6784  sigreg=0.0375
  [supcon+sigreg] epoch 20/120  supcon=3.6317  sigreg=0.0364
  [supcon+sigreg] epoch 21/120  supcon=3.6168  sigreg=0.0374
  [supcon+sigreg] epoch 22/120  supcon=3.5715  sigreg=0.0359
  [supcon+sigreg] epoch 23/120  supcon=3.5523  sigreg=0.0360
  [supcon+sigreg] epoch 24/120  supcon=3.5309  sigreg=0.0351
  [supcon+sigreg] epoch 25/120  supcon=3.4973  sigreg=0.0379
  [supcon+sigreg] epoch 26/120  supcon=3.4732  sigreg=0.0367
  [supcon+sigreg] epoch 27/120  supcon=3.4513  sigreg=0.0329
  [supcon+sigreg] epoch 28/120  supcon=3.4306  sigreg=0.0348
  [supcon+sigreg] epoch 29/120  supcon=3.4203  sigreg=0.0349
  [supcon+sigreg] epoch 30/120  supcon=3.4013  sigreg=0.0360
  [supcon+sigreg] epoch 31/120  supcon=3.3941  sigreg=0.0350
  [supcon+sigreg] epoch 32/120  supcon=3.3817  sigreg=0.0351
  [supcon+sigreg] epoch 33/120  supcon=3.3654  sigreg=0.0361
  [supcon+sigreg] epoch 34/120  supcon=3.3549  sigreg=0.0354
  [supcon+sigreg] epoch 35/120  supcon=3.3375  sigreg=0.0349
  [supcon+sigreg] epoch 36/120  supcon=3.3322  sigreg=0.0324
  [supcon+sigreg] epoch 37/120  supcon=3.3174  sigreg=0.0312
  [supcon+sigreg] epoch 38/120  supcon=3.3137  sigreg=0.0330
  [supcon+sigreg] epoch 39/120  supcon=3.3056  sigreg=0.0347
  [supcon+sigreg] epoch 40/120  supcon=3.2954  sigreg=0.0328
  [supcon+sigreg] epoch 41/120  supcon=3.2795  sigreg=0.0319
  [supcon+sigreg] epoch 42/120  supcon=3.2823  sigreg=0.0326
  [supcon+sigreg] epoch 43/120  supcon=3.2743  sigreg=0.0321
  [supcon+sigreg] epoch 44/120  supcon=3.2686  sigreg=0.0313
  [supcon+sigreg] epoch 45/120  supcon=3.2648  sigreg=0.0336
  [supcon+sigreg] epoch 46/120  supcon=3.2549  sigreg=0.0319
  [supcon+sigreg] epoch 47/120  supcon=3.2469  sigreg=0.0314
  [supcon+sigreg] epoch 48/120  supcon=3.2460  sigreg=0.0325
  [supcon+sigreg] epoch 49/120  supcon=3.2452  sigreg=0.0330
  [supcon+sigreg] epoch 50/120  supcon=3.2353  sigreg=0.0282
  [supcon+sigreg] epoch 51/120  supcon=3.2333  sigreg=0.0322
