device=cuda  bases=['dino', 'lejepa', 'visreg']  emb_dim=16  lam=5

################ base: DINO ViT-B/16 ################
  cached plain features: /home/pharris/sigreg/SuperSig/data/dtd_feats_dino_vitb16.pt
  cached aug bank: /home/pharris/sigreg/SuperSig/data/dtd_augfeats_dino_vitb16_a24.pt
--- [dino] ss[lam5]: SupCon + SIGReg on raw z ---
  [supcon+sigreg] epoch 1/120  supcon=6.3516  sigreg=0.2510
  [supcon+sigreg] epoch 2/120  supcon=5.5565  sigreg=0.1097
  [supcon+sigreg] epoch 3/120  supcon=5.2041  sigreg=0.0573
  [supcon+sigreg] epoch 4/120  supcon=4.8772  sigreg=0.0428
  [supcon+sigreg] epoch 5/120  supcon=4.6601  sigreg=0.0297
  [supcon+sigreg] epoch 6/120  supcon=4.4069  sigreg=0.0280
  [supcon+sigreg] epoch 7/120  supcon=4.2514  sigreg=0.0236
  [supcon+sigreg] epoch 8/120  supcon=4.1168  sigreg=0.0238
  [supcon+sigreg] epoch 9/120  supcon=3.9890  sigreg=0.0240
  [supcon+sigreg] epoch 10/120  supcon=3.8770  sigreg=0.0226
  [supcon+sigreg] epoch 11/120  supcon=3.7889  sigreg=0.0232
  [supcon+sigreg] epoch 12/120  supcon=3.7235  sigreg=0.0211
  [supcon+sigreg] epoch 13/120  supcon=3.6693  sigreg=0.0224
  [supcon+sigreg] epoch 14/120  supcon=3.6219  sigreg=0.0238
  [supcon+sigreg] epoch 15/120  supcon=3.5614  sigreg=0.0220
  [supcon+sigreg] epoch 16/120  supcon=3.5262  sigreg=0.0211
  [supcon+sigreg] epoch 17/120  supcon=3.5018  sigreg=0.0220
  [supcon+sigreg] epoch 18/120  supcon=3.4627  sigreg=0.0224
  [supcon+sigreg] epoch 19/120  supcon=3.4448  sigreg=0.0208
  [supcon+sigreg] epoch 20/120  supcon=3.4137  sigreg=0.0228
  [supcon+sigreg] epoch 21/120  supcon=3.3903  sigreg=0.0201
  [supcon+sigreg] epoch 22/120  supcon=3.3712  sigreg=0.0179
  [supcon+sigreg] epoch 23/120  supcon=3.3572  sigreg=0.0202
  [supcon+sigreg] epoch 24/120  supcon=3.3409  sigreg=0.0210
  [supcon+sigreg] epoch 25/120  supcon=3.3374  sigreg=0.0185
  [supcon+sigreg] epoch 26/120  supcon=3.3256  sigreg=0.0189
  [supcon+sigreg] epoch 27/120  supcon=3.3021  sigreg=0.0184
  [supcon+sigreg] epoch 28/120  supcon=3.2935  sigreg=0.0185
  [supcon+sigreg] epoch 29/120  supcon=3.2926  sigreg=0.0191
  [supcon+sigreg] epoch 30/120  supcon=3.2765  sigreg=0.0194
  [supcon+sigreg] epoch 31/120  supcon=3.2688  sigreg=0.0194
