arm,phase,test,h4,h7,h8,h9,median
supcon,pre,eucl,,,,,>.1
supcon,pre,maha,0.0813,0.0370,0.0615,0.0522,0.0569
supcon,pre,mmd,0.0156,0.0221,0.0177,0.0340,0.0199
supcon,pre,sparker,0.0153,0.0205,0.0176,0.0175,0.0176
supcon,post,eucl,>.1,0.0222,0.0141,0.0104,0.0141
supcon,post,eucl-disc,,0.0200,0.0112,0.0127,0.0127
supcon,post,maha,>.1,0.0205,0.0147,0.0158,0.0158
supcon,post,mmd,>.1,0.0522,0.0194,0.0250,0.0250
supcon,post,sparker,>.1,0.0177,0.0168,0.0092,0.0168
supcon,post,sparker-anch,,0.0200,0.0142,0.0104,0.0142
ssig,pre,eucl,,,,,>.1
ssig,pre,maha,>.1,>.1,>.1,>.1,>.1
ssig,pre,mmd,0.0343,0.0650,0.0148,0.0273,0.0308
ssig,pre,sparker,0.0419,0.0340,0.0397,0.0316,0.0368
ssig,post,eucl,0.0279,0.0790,0.0238,0.0468,0.0373
ssig,post,eucl-disc,0.0300,0.1000,0.0200,0.0500,0.0400
ssig,post,maha,0.0827,0.0902,0.0241,0.0446,0.0636
ssig,post,mmd,0.0343,0.0723,0.0250,>.1,0.0343
ssig,post,sparker,0.0417,>.1,0.0316,>.1,0.0367
ssig,post,sparker-anch,0.0300,0.1000,0.0350,0.0500,0.0425
nplmsd,pre,eucl,,,,,>.1
nplmsd,pre,maha,0.0710,0.0562,0.0205,0.0130,0.0383
nplmsd,pre,mmd,0.0471,0.0899,0.0250,0.0316,0.0394
nplmsd,pre,sparker,0.0396,0.0293,0.0241,0.0243,0.0268
nplmsd,post,eucl,0.0875,0.0435,0.0456,0.0267,0.0446
nplmsd,post,eucl-disc,0.0329,0.0214,0.0163,0.0200,0.0207
nplmsd,post,maha,0.0841,0.0327,0.0412,0.0230,0.0369
nplmsd,post,mmd,0.0488,0.0431,0.0242,0.0285,0.0358
nplmsd,post,sparker,0.0731,0.0412,0.0181,0.0233,0.0322
nplmsd,post,sparker-anch,0.0416,0.0293,0.0171,0.0200,0.0247
nplmcw,pre,eucl,,,,,>.1
nplmcw,pre,maha,0.0710,0.0459,0.0178,0.0150,0.0318
nplmcw,pre,mmd,0.0287,0.0747,0.0230,0.0364,0.0325
nplmcw,pre,sparker,0.0252,0.0292,0.0242,0.0279,0.0266
nplmcw,post,eucl,>.1,0.0433,0.0747,0.0436,0.0436
nplmcw,post,eucl-disc,0.0200,0.0107,0.0092,0.0200,0.0154
nplmcw,post,maha,0.0717,0.0184,0.0374,0.0247,0.0310
nplmcw,post,mmd,>.1,0.0490,0.0444,0.0382,0.0444
nplmcw,post,sparker,>.1,0.0327,0.0397,0.0255,0.0327
nplmcw,post,sparker-anch,0.0362,0.0188,0.0205,0.0200,0.0203
supsig,pre,eucl,,,,,>.1
supsig,pre,maha,0.0466,0.0884,>.1,0.0592,0.0592
supsig,pre,mmd,0.0391,0.0695,0.0165,0.0435,0.0413
supsig,pre,sparker,0.0265,0.0350,0.0434,0.0426,0.0388
supsig,post,eucl,>.1,0.0374,0.0288,0.0405,0.0374
supsig,post,eucl-disc,0.1000,0.0500,0.0300,0.0500,0.0500
supsig,post,maha,>.1,0.0429,0.0296,0.0425,0.0425
supsig,post,mmd,>.1,0.0765,>.1,0.0455,0.0610
supsig,post,sparker,>.1,0.0340,0.0374,0.0455,0.0374
supsig,post,sparker-anch,>.1,0.0883,0.0650,0.0500,0.0650
supconcw,pre,eucl,,,,,>.1
supconcw,pre,maha,>.1,0.0364,0.0717,0.0480,0.0480
supconcw,pre,mmd,0.0412,0.0664,0.0242,0.0256,0.0334
supconcw,pre,sparker,0.0485,0.0673,0.0697,0.0391,0.0579
supconcw,post,eucl,0.0396,>.1,0.0710,0.0406,0.0406
supconcw,post,eucl-disc,0.0205,,0.0300,0.0500,0.0300
supconcw,post,maha,0.0487,>.1,0.0592,0.0398,0.0487
supconcw,post,mmd,0.0439,>.1,0.0263,>.1,0.0351
supconcw,post,sparker,0.0475,>.1,0.0662,0.0361,0.0475
supconcw,post,sparker-anch,0.0200,,0.0636,0.0500,0.0500
supcon-res,pre,eucl,,,,,>.1
supcon-res,pre,maha,0.0358,0.0236,0.0214,0.0120,0.0225
supcon-res,pre,mmd,0.0469,0.0779,0.0192,0.0141,0.0331
supcon-res,pre,sparker,0.0391,0.0260,0.0183,0.0118,0.0222
supcon-res,post,eucl,0.0327,0.0169,0.0168,0.0090,0.0168
supcon-res,post,eucl-disc,0.0149,0.0142,0.0200,0.0100,0.0146
supcon-res,post,maha,0.0243,0.0158,0.0157,0.0088,0.0157
supcon-res,post,mmd,0.0410,0.0492,0.0191,0.0195,0.0303
supcon-res,post,sparker,0.0327,0.0176,0.0161,0.0090,0.0169
supcon-res,post,sparker-anch,0.0290,0.0167,0.0200,0.0100,0.0183
supcon-resnplm,pre,eucl,,,,,>.1
supcon-resnplm,pre,maha,0.0374,0.0254,0.0205,0.0155,0.0230
supcon-resnplm,pre,mmd,0.0292,0.0414,0.0209,0.0295,0.0294
supcon-resnplm,pre,sparker,0.0159,0.0195,0.0182,0.0146,0.0171
supcon-resnplm,post,eucl,0.0350,0.0205,0.0214,0.0143,0.0210
supcon-resnplm,post,eucl-disc,0.0200,0.0214,0.0152,0.0127,0.0176
supcon-resnplm,post,maha,0.0394,0.0214,0.0118,0.0145,0.0179
supcon-resnplm,post,mmd,0.0405,0.0650,0.0168,0.0162,0.0287
supcon-resnplm,post,sparker,0.0374,0.0221,0.0165,0.0087,0.0193
supcon-resnplm,post,sparker-anch,0.0340,0.0226,0.0152,0.0100,0.0189
ssig-res,pre,eucl,,,,,>.1
ssig-res,pre,maha,>.1,0.0290,>.1,>.1,0.0290
ssig-res,pre,mmd,0.0446,0.0774,0.0205,0.0437,0.0442
ssig-res,pre,sparker,0.0912,0.0889,0.0443,0.0489,0.0689
ssig-res,post,eucl,0.0821,0.0592,0.0465,0.0350,0.0528
ssig-res,post,eucl-disc,0.0300,0.0300,0.0500,0.0300,0.0300
ssig-res,post,maha,0.0327,0.0269,0.0451,0.0273,0.0300
ssig-res,post,mmd,0.0417,0.0788,>.1,0.0374,0.0417
ssig-res,post,sparker,0.0600,0.0662,0.0412,0.0279,0.0506
ssig-res,post,sparker-anch,0.0466,0.0461,0.0500,0.0300,0.0463
ssig-resnplm,pre,eucl,,,,,>.1
ssig-resnplm,pre,maha,0.0615,0.0758,0.0262,0.0250,0.0439
ssig-resnplm,pre,mmd,0.0432,0.0824,0.0167,0.0327,0.0380
ssig-resnplm,pre,sparker,0.0230,0.0247,0.0209,0.0174,0.0219
ssig-resnplm,post,eucl,0.0437,0.0394,0.0379,0.0242,0.0386
ssig-resnplm,post,eucl-disc,0.0180,0.0155,0.0200,0.0100,0.0167
ssig-resnplm,post,maha,0.0739,0.0379,0.0250,0.0183,0.0314
ssig-resnplm,post,mmd,0.0370,0.0441,0.0205,0.0280,0.0325
ssig-resnplm,post,sparker,0.0405,0.0279,0.0238,0.0169,0.0259
ssig-resnplm,post,sparker-anch,0.0209,0.0175,0.0361,0.0158,0.0192
nplmsd-res,pre,eucl,,,,,>.1
nplmsd-res,pre,maha,>.1,0.0358,>.1,0.0466,0.0412
nplmsd-res,pre,mmd,0.0407,0.0836,0.0165,0.0522,0.0464
nplmsd-res,pre,sparker,0.0768,0.0453,0.0461,0.0437,0.0457
nplmsd-res,post,eucl,0.0562,0.0437,0.0282,0.0277,0.0359
nplmsd-res,post,eucl-disc,0.0200,0.0500,0.0300,0.0300,0.0300
nplmsd-res,post,maha,0.0288,0.0310,0.0281,0.0266,0.0284
nplmsd-res,post,mmd,0.0460,0.0765,0.0221,0.0340,0.0400
nplmsd-res,post,sparker,0.0458,0.0474,0.0282,0.0282,0.0370
nplmsd-res,post,sparker-anch,0.0343,0.0500,0.0300,0.0300,0.0322
nplmsd-resnplm,pre,eucl,,,,,>.1
nplmsd-resnplm,pre,maha,>.1,>.1,0.0703,0.0266,0.0484
nplmsd-resnplm,pre,mmd,0.0858,0.0675,0.0209,0.0178,0.0442
nplmsd-resnplm,pre,sparker,0.0492,0.0487,0.0293,0.0243,0.0390
nplmsd-resnplm,post,eucl,0.0891,0.0922,0.0272,0.0823,0.0857
nplmsd-resnplm,post,eucl-disc,0.0462,0.1000,0.0200,0.0164,0.0331
nplmsd-resnplm,post,maha,0.0886,0.0894,0.0261,0.0275,0.0581
nplmsd-resnplm,post,mmd,0.0801,0.0734,0.0274,0.0273,0.0504
nplmsd-resnplm,post,sparker,>.1,0.0716,0.0269,0.0250,0.0269
nplmsd-resnplm,post,sparker-anch,0.0615,0.1000,0.0275,0.0264,0.0445
nplmcw-res,pre,eucl,,,,,>.1
nplmcw-res,pre,maha,>.1,0.0226,>.1,0.0226,0.0226
nplmcw-res,pre,mmd,0.0402,0.0675,0.0178,0.0340,0.0371
nplmcw-res,pre,sparker,0.0838,0.0391,0.0537,0.0419,0.0478
nplmcw-res,post,eucl,0.0788,0.0358,0.0260,0.0438,0.0398
nplmcw-res,post,eucl-disc,0.0500,0.0300,0.0112,0.0500,0.0400
nplmcw-res,post,maha,0.0459,0.0230,0.0190,>.1,0.0230
nplmcw-res,post,mmd,0.0440,0.0675,0.0194,>.1,0.0440
nplmcw-res,post,sparker,0.0447,0.0289,0.0247,0.0364,0.0327
nplmcw-res,post,sparker-anch,0.0500,0.0300,0.0238,0.0500,0.0400
nplmcw-resnplm,pre,eucl,,,,,>.1
nplmcw-resnplm,pre,maha,0.0817,0.0255,0.0424,0.0242,0.0339
nplmcw-resnplm,pre,mmd,0.0454,0.0848,0.0230,0.0268,0.0361
nplmcw-resnplm,pre,sparker,0.0794,0.0522,0.0329,0.0284,0.0425
nplmcw-resnplm,post,eucl,0.0442,0.0675,0.0743,0.0751,0.0709
nplmcw-resnplm,post,eucl-disc,0.0500,0.0500,0.0200,0.0300,0.0400
nplmcw-resnplm,post,maha,0.0460,>.1,0.0267,0.0246,0.0267
nplmcw-resnplm,post,mmd,0.0430,0.0717,0.0221,0.0438,0.0434
nplmcw-resnplm,post,sparker,0.0567,0.0480,0.0369,0.0247,0.0424
nplmcw-resnplm,post,sparker-anch,0.0500,0.0500,0.0200,0.0300,0.0400
supsig-res,pre,eucl,,,,,>.1
supsig-res,pre,maha,>.1,0.0261,0.0615,0.0634,0.0615
supsig-res,pre,mmd,0.0455,0.0739,0.0149,0.0429,0.0442
supsig-res,pre,sparker,0.0642,0.0432,0.0343,0.0329,0.0388
supsig-res,post,eucl,0.0327,0.0268,0.0246,0.0436,0.0297
supsig-res,post,eucl-disc,0.0200,0.0200,0.0200,0.0200,0.0200
supsig-res,post,maha,0.0249,0.0187,0.0196,0.0398,0.0223
supsig-res,post,mmd,0.0491,0.0844,0.0173,0.0424,0.0457
supsig-res,post,sparker,0.0460,0.0358,0.0215,0.0417,0.0387
supsig-res,post,sparker-anch,0.0406,0.0269,0.0230,0.0250,0.0259
supsig-resnplm,pre,eucl,,,,,>.1
supsig-resnplm,pre,maha,0.0758,0.0675,0.0383,0.0165,0.0529
supsig-resnplm,pre,mmd,0.0465,0.0868,0.0182,0.0398,0.0431
supsig-resnplm,pre,sparker,0.0424,0.0432,0.0488,0.0243,0.0428
supsig-resnplm,post,eucl,0.0276,0.0293,0.0340,0.0252,0.0284
supsig-resnplm,post,eucl-disc,0.0222,0.0247,0.0300,0.0159,0.0235
supsig-resnplm,post,maha,0.0267,0.0279,0.0251,0.0149,0.0259
supsig-resnplm,post,mmd,0.0455,0.0562,>.1,0.0396,0.0455
supsig-resnplm,post,sparker,0.0290,0.0296,0.0282,0.0167,0.0286
supsig-resnplm,post,sparker-anch,0.0394,0.0280,0.0300,0.0273,0.0290
