arm,phase,test,h4,h7,h8,h9,median
supcon,pre,eucl,>.1,>.1,>.1,0.0429,0.0429
supcon,pre,maha,0.0813,0.0370,0.0615,0.0522,0.0569
supcon,pre,mmd,0.0156,0.0221,0.0177,0.0340,0.0199
supcon,pre,sparker,0.0153,0.0205,0.0176,0.0175,0.0176
supcon,post,eucl,0.0277,0.0288,0.0162,0.0079,0.0219
supcon,post,eucl-disc,0.0226,0.0160,0.0141,0.0094,0.0150
supcon,post,maha,0.0486,0.0184,0.0205,0.0185,0.0195
supcon,post,mmd,0.0173,0.0431,0.0164,0.0250,0.0212
supcon,post,sparker,0.0165,0.0251,0.0182,0.0082,0.0174
supcon,post,sparker-anch,0.0157,0.0195,0.0152,0.0089,0.0155
ssig,pre,eucl,>.1,>.1,>.1,>.1,>.1
ssig,pre,maha,>.1,>.1,>.1,>.1,>.1
ssig,pre,mmd,0.0343,0.0650,0.0148,0.0273,0.0308
ssig,pre,sparker,0.0419,0.0340,0.0397,0.0316,0.0368
ssig,post,eucl,0.0279,0.0261,0.0252,0.0164,0.0257
ssig,post,eucl-disc,0.0226,0.0252,0.0230,0.0143,0.0228
ssig,post,maha,0.0403,0.0389,0.0214,0.0159,0.0301
ssig,post,mmd,0.0350,0.0420,0.0205,0.0350,0.0350
ssig,post,sparker,0.0278,0.0256,0.0232,0.0195,0.0244
ssig,post,sparker-anch,0.0405,0.0263,0.0178,0.0168,0.0221
nplmsd,pre,eucl,0.0250,0.0310,0.0238,0.0194,0.0244
nplmsd,pre,maha,0.0710,0.0562,0.0205,0.0130,0.0383
nplmsd,pre,mmd,0.0471,0.0899,0.0250,0.0316,0.0394
nplmsd,pre,sparker,0.0396,0.0293,0.0241,0.0243,0.0268
nplmsd,post,eucl,0.0374,0.0310,0.0276,0.0226,0.0293
nplmsd,post,eucl-disc,0.0253,0.0221,0.0163,0.0165,0.0193
nplmsd,post,maha,0.0296,0.0266,0.0230,0.0205,0.0248
nplmsd,post,mmd,0.0433,0.0473,0.0396,0.0284,0.0415
nplmsd,post,sparker,0.0434,0.0289,0.0236,0.0262,0.0276
nplmsd,post,sparker-anch,0.0443,0.0440,0.0184,0.0248,0.0344
nplmcw,pre,eucl,0.0214,0.0236,0.0230,0.0209,0.0222
