/home/pharris/venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
cell                          b_true   b_hat   q_orc   P_orc  q_rule  P_rule   P@.05     gap  rule
cifar100_tau0.05_off_s0       0.0100  0.0022  0.0030  0.2105  0.0073  0.1393  0.0668  0.0712  OK
cifar100_tau0.05_off_s1       0.0100  0.0042  0.0046  0.1472  0.0139  0.0895  0.0548  0.0577  OK
cifar100_tau0.05_off_s2       0.0100  0.0008  0.0020  0.4500  0.0027  0.4135  0.0944  0.0365  OK
cifar100_tau0.05_on_s0        0.0100  0.0038  0.0020  0.7200  0.0128  0.3969  0.1328  0.3231  OK
cifar100_tau0.05_on_s1        0.0100  0.0057  0.0020  0.7800  0.0191  0.1684  0.0816  0.6116  OK
cifar100_tau0.05_on_s2        0.0100  0.0010  0.0020  0.7100  0.0033  0.5951  0.0868  0.1149  OK
cifar100_tau0.1_off_s0        0.0100  0.0030  0.0020  0.3800  0.0101  0.2222  0.0904  0.1578  OK
cifar100_tau0.1_off_s1        0.0100  0.0045  0.0037  0.1711  0.0149  0.0995  0.0696  0.0717  OK
cifar100_tau0.1_off_s2        0.0100  0.0094  0.0020  0.3700  0.0313  0.0768  0.0620  0.2932  OK
cifar100_tau0.1_on_s0         0.0100  0.0072  0.0020  0.5200  0.0240  0.1565  0.1000  0.3635  OK
cifar100_tau0.1_on_s1         0.0100  0.0086  0.0020  0.3400  0.0287  0.1394  0.1024  0.2006  OK
cifar100_tau0.1_on_s2         0.0100  0.0021  0.0020  0.5300  0.0071  0.3501  0.1236  0.1799  OK
cifar100_tau0.3_off_s0        0.0100  0.0028  0.0020  0.3700  0.0094  0.1783  0.0628  0.1917  OK
cifar100_tau0.3_off_s1        0.0100  0.0023  0.0037  0.1711  0.0076  0.1158  0.0424  0.0553  OK
cifar100_tau0.3_off_s2        0.0100  0.0047  0.0020  0.5000  0.0155  0.1484  0.0652  0.3516  OK
cifar100_tau0.3_on_s0         0.0100  0.0066  0.0020  0.5100  0.0221  0.1902  0.1256  0.3198  OK
cifar100_tau0.3_on_s1         0.0100  0.0047  0.0020  0.5900  0.0156  0.2097  0.0968  0.3803  OK
cifar100_tau0.3_on_s2         0.0100  0.0034  0.0020  0.4400  0.0114  0.1804  0.0824  0.2596  OK
cifar100_tau1.0_off_s0        0.0100  0.0074  0.0020  0.5100  0.0247  0.1076  0.0672  0.4024  OK
cifar100_tau1.0_off_s1        0.0100  0.0029  0.0020  0.6300  0.0095  0.2432  0.0612  0.3868  OK
cifar100_tau1.0_off_s2        0.0100  0.0045  0.0020  0.3700  0.0150  0.0824  0.0324  0.2876  OK
cifar100_tau1.0_on_s0         0.0100  0.0153  0.0046  0.1688  0.0509  0.0585  0.0592  0.1103  OK
cifar100_tau1.0_on_s1         0.0100  0.0062  0.0020  0.9300  0.0207  0.2336  0.1188  0.6964  OK
cifar100_tau1.0_on_s2         0.0100  0.0057  0.0020  0.6000  0.0190  0.1675  0.0812  0.4325  OK
cifar100_tau3.0_off_s0        0.0100  0.0022  0.0025  0.4797  0.0072  0.2909  0.1208  0.1888  OK
cifar100_tau3.0_off_s1        0.0100  0.0045  0.0020  0.4800  0.0148  0.2925  0.1328  0.1875  OK
cifar100_tau3.0_off_s2        0.0100  0.0087  0.0020  0.6800  0.0291  0.1704  0.1132  0.5096  OK
cifar100_tau3.0_on_s0         0.0100  0.0042  0.0020  0.4800  0.0139  0.2320  0.1076  0.2480  OK
cifar100_tau3.0_on_s1         0.0100  0.0064  0.0020  0.8200  0.0215  0.2112  0.1148  0.6088  OK
cifar100_tau3.0_on_s2         0.0100  0.0052  0.0020  0.6600  0.0174  0.1494  0.0732  0.5106  OK

mean oracle gap +0.2870; rule beats the inherited q=0.05 in 29/30 cells
wrote logs/exp129/legal_cut.json
