/home/pharris/venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
Using cache found in /home/pharris/.cache/torch/hub/facebookresearch_dino_main
exp51 [aircraft_dino_nplm-sup-ft] NPLM suite, dim=32, epochs=120, holdouts=[90, 91, 92, 93, 94, 95, 96, 97, 98, 99], lam=1.0, arms=['simclr', 'lejepa', 'simclr_sigreg', 'supcon', 'supcon_sigreg', 'nplm_bilinear', 'nplm_distance', 'nplm_sup_dist']
  loading ft trunk /home/pharris/sigreg/SuperSig/checkpoints/aircraft_ft_dino_nplm-sup-ft.pt
  aircraft_dino_vitb16_nplm-sup-ft aug replica 1/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 2/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 3/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 4/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 5/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 6/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 7/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 8/8
  train pool 6667 (seen bank 6000), test pool 3333 (333 holdout)

----- simclr (augmentations only) -----
  [simclr] epoch 1/120  loss=5.9547
  [simclr] epoch 2/120  loss=5.5633
  [simclr] epoch 3/120  loss=5.4146
  [simclr] epoch 4/120  loss=5.3543
  [simclr] epoch 5/120  loss=5.3232
  [simclr] epoch 6/120  loss=5.3025
  [simclr] epoch 7/120  loss=5.2822
  [simclr] epoch 8/120  loss=5.2684
  [simclr] epoch 9/120  loss=5.2565
  [simclr] epoch 10/120  loss=5.2553
  [simclr] epoch 11/120  loss=5.2419
  [simclr] epoch 12/120  loss=5.2347
  [simclr] epoch 13/120  loss=5.2259
  [simclr] epoch 14/120  loss=5.2204
  [simclr] epoch 15/120  loss=5.2246
  [simclr] epoch 16/120  loss=5.2154
  [simclr] epoch 17/120  loss=5.2098
  [simclr] epoch 18/120  loss=5.2053
  [simclr] epoch 19/120  loss=5.2004
  [simclr] epoch 20/120  loss=5.1932
  [simclr] epoch 21/120  loss=5.1927
  [simclr] epoch 22/120  loss=5.1932
  [simclr] epoch 23/120  loss=5.1928
  [simclr] epoch 24/120  loss=5.1865
  [simclr] epoch 25/120  loss=5.1839
  [simclr] epoch 26/120  loss=5.1819
  [simclr] epoch 27/120  loss=5.1781
  [simclr] epoch 28/120  loss=5.1783
  [simclr] epoch 29/120  loss=5.1734
  [simclr] epoch 30/120  loss=5.1683
  [simclr] epoch 31/120  loss=5.1665
  [simclr] epoch 32/120  loss=5.1632
  [simclr] epoch 33/120  loss=5.1608
  [simclr] epoch 34/120  loss=5.1587
  [simclr] epoch 35/120  loss=5.1600
  [simclr] epoch 36/120  loss=5.1565
  [simclr] epoch 37/120  loss=5.1556
  [simclr] epoch 38/120  loss=5.1526
  [simclr] epoch 39/120  loss=5.1515
  [simclr] epoch 40/120  loss=5.1543
  [simclr] epoch 41/120  loss=5.1516
  [simclr] epoch 42/120  loss=5.1480
  [simclr] epoch 43/120  loss=5.1468
  [simclr] epoch 44/120  loss=5.1469
  [simclr] epoch 45/120  loss=5.1467
  [simclr] epoch 46/120  loss=5.1460
  [simclr] epoch 47/120  loss=5.1425
  [simclr] epoch 48/120  loss=5.1407
  [simclr] epoch 49/120  loss=5.1357
  [simclr] epoch 50/120  loss=5.1367
  [simclr] epoch 51/120  loss=5.1339
  [simclr] epoch 52/120  loss=5.1311
  [simclr] epoch 53/120  loss=5.1369
  [simclr] epoch 54/120  loss=5.1369
  [simclr] epoch 55/120  loss=5.1319
  [simclr] epoch 56/120  loss=5.1290
  [simclr] epoch 57/120  loss=5.1343
  [simclr] epoch 58/120  loss=5.1328
  [simclr] epoch 59/120  loss=5.1293
  [simclr] epoch 60/120  loss=5.1296
  [simclr] epoch 61/120  loss=5.1270
  [simclr] epoch 62/120  loss=5.1249
  [simclr] epoch 63/120  loss=5.1235
  [simclr] epoch 64/120  loss=5.1228
  [simclr] epoch 65/120  loss=5.1226
  [simclr] epoch 66/120  loss=5.1219
  [simclr] epoch 67/120  loss=5.1197
  [simclr] epoch 68/120  loss=5.1195
  [simclr] epoch 69/120  loss=5.1166
  [simclr] epoch 70/120  loss=5.1159
  [simclr] epoch 71/120  loss=5.1161
  [simclr] epoch 72/120  loss=5.1161
  [simclr] epoch 73/120  loss=5.1128
  [simclr] epoch 74/120  loss=5.1117
  [simclr] epoch 75/120  loss=5.1157
  [simclr] epoch 76/120  loss=5.1146
  [simclr] epoch 77/120  loss=5.1129
  [simclr] epoch 78/120  loss=5.1117
  [simclr] epoch 79/120  loss=5.1110
  [simclr] epoch 80/120  loss=5.1138
  [simclr] epoch 81/120  loss=5.1118
  [simclr] epoch 82/120  loss=5.1103
  [simclr] epoch 83/120  loss=5.1071
  [simclr] epoch 84/120  loss=5.1052
  [simclr] epoch 85/120  loss=5.1078
  [simclr] epoch 86/120  loss=5.1106
  [simclr] epoch 87/120  loss=5.1079
  [simclr] epoch 88/120  loss=5.1053
  [simclr] epoch 89/120  loss=5.1036
  [simclr] epoch 90/120  loss=5.1067
  [simclr] epoch 91/120  loss=5.1051
  [simclr] epoch 92/120  loss=5.1006
  [simclr] epoch 93/120  loss=5.0987
  [simclr] epoch 94/120  loss=5.0988
  [simclr] epoch 95/120  loss=5.0982
  [simclr] epoch 96/120  loss=5.0973
  [simclr] epoch 97/120  loss=5.0974
  [simclr] epoch 98/120  loss=5.0962
  [simclr] epoch 99/120  loss=5.0977
  [simclr] epoch 100/120  loss=5.0974
  [simclr] epoch 101/120  loss=5.0986
  [simclr] epoch 102/120  loss=5.0965
  [simclr] epoch 103/120  loss=5.0952
  [simclr] epoch 104/120  loss=5.0936
  [simclr] epoch 105/120  loss=5.0933
  [simclr] epoch 106/120  loss=5.0932
  [simclr] epoch 107/120  loss=5.0904
  [simclr] epoch 108/120  loss=5.0913
  [simclr] epoch 109/120  loss=5.0935
  [simclr] epoch 110/120  loss=5.0893
  [simclr] epoch 111/120  loss=5.0906
  [simclr] epoch 112/120  loss=5.0931
  [simclr] epoch 113/120  loss=5.0919
  [simclr] epoch 114/120  loss=5.0905
  [simclr] epoch 115/120  loss=5.0904
  [simclr] epoch 116/120  loss=5.0901
  [simclr] epoch 117/120  loss=5.0884
  [simclr] epoch 118/120  loss=5.0882
  [simclr] epoch 119/120  loss=5.0870
  [simclr] epoch 120/120  loss=5.0888
  [simclr        ] probe=0.6657+-0.0108 acc=0.1607 supAUC=0.8134 eucl=0.5754 mahaT=0.5582 mahaPC=0.5357

----- lejepa (augmentations only) -----
  [sigreg-ssl] epoch 1/120  inv=0.0443  sigreg=0.5157
  [sigreg-ssl] epoch 2/120  inv=0.0490  sigreg=0.2729
  [sigreg-ssl] epoch 3/120  inv=0.0668  sigreg=0.2012
  [sigreg-ssl] epoch 4/120  inv=0.0700  sigreg=0.1593
  [sigreg-ssl] epoch 5/120  inv=0.0763  sigreg=0.1294
  [sigreg-ssl] epoch 6/120  inv=0.0725  sigreg=0.1190
  [sigreg-ssl] epoch 7/120  inv=0.0740  sigreg=0.1091
  [sigreg-ssl] epoch 8/120  inv=0.0674  sigreg=0.1100
  [sigreg-ssl] epoch 9/120  inv=0.0662  sigreg=0.1018
  [sigreg-ssl] epoch 10/120  inv=0.0663  sigreg=0.0946
  [sigreg-ssl] epoch 11/120  inv=0.0619  sigreg=0.1040
  [sigreg-ssl] epoch 12/120  inv=0.0634  sigreg=0.0963
  [sigreg-ssl] epoch 13/120  inv=0.0613  sigreg=0.0894
  [sigreg-ssl] epoch 14/120  inv=0.0610  sigreg=0.0974
  [sigreg-ssl] epoch 15/120  inv=0.0587  sigreg=0.0906
  [sigreg-ssl] epoch 16/120  inv=0.0599  sigreg=0.0894
  [sigreg-ssl] epoch 17/120  inv=0.0596  sigreg=0.0871
  [sigreg-ssl] epoch 18/120  inv=0.0570  sigreg=0.0847
  [sigreg-ssl] epoch 19/120  inv=0.0574  sigreg=0.0799
  [sigreg-ssl] epoch 20/120  inv=0.0579  sigreg=0.0762
  [sigreg-ssl] epoch 21/120  inv=0.0578  sigreg=0.0721
  [sigreg-ssl] epoch 22/120  inv=0.0578  sigreg=0.0734
  [sigreg-ssl] epoch 23/120  inv=0.0564  sigreg=0.0721
  [sigreg-ssl] epoch 24/120  inv=0.0577  sigreg=0.0696
  [sigreg-ssl] epoch 25/120  inv=0.0571  sigreg=0.0655
  [sigreg-ssl] epoch 26/120  inv=0.0544  sigreg=0.0663
  [sigreg-ssl] epoch 27/120  inv=0.0577  sigreg=0.0670
  [sigreg-ssl] epoch 28/120  inv=0.0514  sigreg=0.0704
  [sigreg-ssl] epoch 29/120  inv=0.0550  sigreg=0.0664
  [sigreg-ssl] epoch 30/120  inv=0.0555  sigreg=0.0629
  [sigreg-ssl] epoch 31/120  inv=0.0524  sigreg=0.0624
  [sigreg-ssl] epoch 32/120  inv=0.0526  sigreg=0.0600
  [sigreg-ssl] epoch 33/120  inv=0.0515  sigreg=0.0615
  [sigreg-ssl] epoch 34/120  inv=0.0517  sigreg=0.0626
  [sigreg-ssl] epoch 35/120  inv=0.0514  sigreg=0.0630
  [sigreg-ssl] epoch 36/120  inv=0.0500  sigreg=0.0602
  [sigreg-ssl] epoch 37/120  inv=0.0518  sigreg=0.0618
  [sigreg-ssl] epoch 38/120  inv=0.0507  sigreg=0.0592
  [sigreg-ssl] epoch 39/120  inv=0.0518  sigreg=0.0588
  [sigreg-ssl] epoch 40/120  inv=0.0503  sigreg=0.0608
  [sigreg-ssl] epoch 41/120  inv=0.0499  sigreg=0.0606
  [sigreg-ssl] epoch 42/120  inv=0.0509  sigreg=0.0592
  [sigreg-ssl] epoch 43/120  inv=0.0485  sigreg=0.0612
  [sigreg-ssl] epoch 44/120  inv=0.0488  sigreg=0.0617
  [sigreg-ssl] epoch 45/120  inv=0.0485  sigreg=0.0571
  [sigreg-ssl] epoch 46/120  inv=0.0476  sigreg=0.0570
  [sigreg-ssl] epoch 47/120  inv=0.0486  sigreg=0.0519
  [sigreg-ssl] epoch 48/120  inv=0.0489  sigreg=0.0524
  [sigreg-ssl] epoch 49/120  inv=0.0485  sigreg=0.0536
  [sigreg-ssl] epoch 50/120  inv=0.0476  sigreg=0.0542
  [sigreg-ssl] epoch 51/120  inv=0.0466  sigreg=0.0545
  [sigreg-ssl] epoch 52/120  inv=0.0467  sigreg=0.0555
  [sigreg-ssl] epoch 53/120  inv=0.0461  sigreg=0.0563
  [sigreg-ssl] epoch 54/120  inv=0.0480  sigreg=0.0544
  [sigreg-ssl] epoch 55/120  inv=0.0465  sigreg=0.0536
  [sigreg-ssl] epoch 56/120  inv=0.0469  sigreg=0.0509
  [sigreg-ssl] epoch 57/120  inv=0.0473  sigreg=0.0532
  [sigreg-ssl] epoch 58/120  inv=0.0454  sigreg=0.0546
  [sigreg-ssl] epoch 59/120  inv=0.0459  sigreg=0.0480
  [sigreg-ssl] epoch 60/120  inv=0.0461  sigreg=0.0508
  [sigreg-ssl] epoch 61/120  inv=0.0467  sigreg=0.0504
  [sigreg-ssl] epoch 62/120  inv=0.0444  sigreg=0.0510
  [sigreg-ssl] epoch 63/120  inv=0.0460  sigreg=0.0476
  [sigreg-ssl] epoch 64/120  inv=0.0454  sigreg=0.0518
  [sigreg-ssl] epoch 65/120  inv=0.0458  sigreg=0.0492
