/home/pharris/venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
exp51 [aircraft_lejepa_nplm-sup-ft] NPLM suite, dim=32, epochs=120, holdouts=[90, 91, 92, 93, 94, 95, 96, 97, 98, 99], lam=1.0, arms=['simclr', 'lejepa', 'simclr_sigreg', 'supcon', 'supcon_sigreg', 'nplm_bilinear', 'nplm_distance', 'nplm_sup_dist']
Fetching 37 files:   0%|          | 0/37 [00:00<?, ?it/s]Fetching 37 files: 100%|██████████| 37/37 [00:00<00:00, 143960.34it/s]
  loading ft trunk /home/pharris/sigreg/SuperSig/checkpoints/aircraft_ft_lejepa_nplm-sup-ft.pt
  extracted aircraft_lejepa_vitb16_nplm-sup-ft train: (6667, 768)
  extracted aircraft_lejepa_vitb16_nplm-sup-ft test: (3333, 768)
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 1/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 2/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 3/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 4/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 5/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 6/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 7/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 8/8
  train pool 6667 (seen bank 6000), test pool 3333 (333 holdout)

----- simclr (augmentations only) -----
  [simclr] epoch 1/120  loss=5.7358
  [simclr] epoch 2/120  loss=5.4468
  [simclr] epoch 3/120  loss=5.3129
  [simclr] epoch 4/120  loss=5.2689
  [simclr] epoch 5/120  loss=5.2431
  [simclr] epoch 6/120  loss=5.2321
  [simclr] epoch 7/120  loss=5.2198
  [simclr] epoch 8/120  loss=5.2067
  [simclr] epoch 9/120  loss=5.1920
  [simclr] epoch 10/120  loss=5.1863
  [simclr] epoch 11/120  loss=5.1850
  [simclr] epoch 12/120  loss=5.1794
  [simclr] epoch 13/120  loss=5.1778
  [simclr] epoch 14/120  loss=5.1720
  [simclr] epoch 15/120  loss=5.1704
  [simclr] epoch 16/120  loss=5.1633
  [simclr] epoch 17/120  loss=5.1597
  [simclr] epoch 18/120  loss=5.1549
  [simclr] epoch 19/120  loss=5.1487
  [simclr] epoch 20/120  loss=5.1473
  [simclr] epoch 21/120  loss=5.1466
  [simclr] epoch 22/120  loss=5.1486
  [simclr] epoch 23/120  loss=5.1419
  [simclr] epoch 24/120  loss=5.1413
  [simclr] epoch 25/120  loss=5.1378
  [simclr] epoch 26/120  loss=5.1392
  [simclr] epoch 27/120  loss=5.1366
  [simclr] epoch 28/120  loss=5.1347
  [simclr] epoch 29/120  loss=5.1289
  [simclr] epoch 30/120  loss=5.1274
  [simclr] epoch 31/120  loss=5.1278
  [simclr] epoch 32/120  loss=5.1286
  [simclr] epoch 33/120  loss=5.1265
  [simclr] epoch 34/120  loss=5.1217
  [simclr] epoch 35/120  loss=5.1229
  [simclr] epoch 36/120  loss=5.1247
  [simclr] epoch 37/120  loss=5.1213
  [simclr] epoch 38/120  loss=5.1178
  [simclr] epoch 39/120  loss=5.1175
  [simclr] epoch 40/120  loss=5.1154
  [simclr] epoch 41/120  loss=5.1172
  [simclr] epoch 42/120  loss=5.1127
  [simclr] epoch 43/120  loss=5.1132
  [simclr] epoch 44/120  loss=5.1109
  [simclr] epoch 45/120  loss=5.1106
  [simclr] epoch 46/120  loss=5.1091
  [simclr] epoch 47/120  loss=5.1076
  [simclr] epoch 48/120  loss=5.1042
  [simclr] epoch 49/120  loss=5.1045
  [simclr] epoch 50/120  loss=5.1043
  [simclr] epoch 51/120  loss=5.1032
  [simclr] epoch 52/120  loss=5.1020
  [simclr] epoch 53/120  loss=5.1026
  [simclr] epoch 54/120  loss=5.1019
  [simclr] epoch 55/120  loss=5.0982
  [simclr] epoch 56/120  loss=5.0990
  [simclr] epoch 57/120  loss=5.1001
  [simclr] epoch 58/120  loss=5.0994
  [simclr] epoch 59/120  loss=5.0965
  [simclr] epoch 60/120  loss=5.0965
  [simclr] epoch 61/120  loss=5.0935
  [simclr] epoch 62/120  loss=5.0942
  [simclr] epoch 63/120  loss=5.0942
  [simclr] epoch 64/120  loss=5.0918
  [simclr] epoch 65/120  loss=5.0912
  [simclr] epoch 66/120  loss=5.0908
  [simclr] epoch 67/120  loss=5.0901
  [simclr] epoch 68/120  loss=5.0893
  [simclr] epoch 69/120  loss=5.0873
  [simclr] epoch 70/120  loss=5.0872
  [simclr] epoch 71/120  loss=5.0881
  [simclr] epoch 72/120  loss=5.0879
  [simclr] epoch 73/120  loss=5.0865
  [simclr] epoch 74/120  loss=5.0873
  [simclr] epoch 75/120  loss=5.0879
  [simclr] epoch 76/120  loss=5.0853
  [simclr] epoch 77/120  loss=5.0863
  [simclr] epoch 78/120  loss=5.0860
  [simclr] epoch 79/120  loss=5.0850
  [simclr] epoch 80/120  loss=5.0865
  [simclr] epoch 81/120  loss=5.0851
  [simclr] epoch 82/120  loss=5.0842
  [simclr] epoch 83/120  loss=5.0818
  [simclr] epoch 84/120  loss=5.0803
  [simclr] epoch 85/120  loss=5.0827
  [simclr] epoch 86/120  loss=5.0825
  [simclr] epoch 87/120  loss=5.0806
  [simclr] epoch 88/120  loss=5.0805
  [simclr] epoch 89/120  loss=5.0804
  [simclr] epoch 90/120  loss=5.0786
  [simclr] epoch 91/120  loss=5.0784
  [simclr] epoch 92/120  loss=5.0785
  [simclr] epoch 93/120  loss=5.0774
  [simclr] epoch 94/120  loss=5.0774
  [simclr] epoch 95/120  loss=5.0762
  [simclr] epoch 96/120  loss=5.0775
  [simclr] epoch 97/120  loss=5.0775
  [simclr] epoch 98/120  loss=5.0755
  [simclr] epoch 99/120  loss=5.0753
  [simclr] epoch 100/120  loss=5.0772
  [simclr] epoch 101/120  loss=5.0754
  [simclr] epoch 102/120  loss=5.0764
  [simclr] epoch 103/120  loss=5.0734
  [simclr] epoch 104/120  loss=5.0757
  [simclr] epoch 105/120  loss=5.0708
  [simclr] epoch 106/120  loss=5.0732
  [simclr] epoch 107/120  loss=5.0707
  [simclr] epoch 108/120  loss=5.0692
  [simclr] epoch 109/120  loss=5.0721
  [simclr] epoch 110/120  loss=5.0695
  [simclr] epoch 111/120  loss=5.0731
  [simclr] epoch 112/120  loss=5.0727
  [simclr] epoch 113/120  loss=5.0715
  [simclr] epoch 114/120  loss=5.0716
  [simclr] epoch 115/120  loss=5.0713
  [simclr] epoch 116/120  loss=5.0702
  [simclr] epoch 117/120  loss=5.0695
  [simclr] epoch 118/120  loss=5.0705
  [simclr] epoch 119/120  loss=5.0681
  [simclr] epoch 120/120  loss=5.0687
  [simclr        ] probe=0.6588+-0.0075 acc=0.2167 supAUC=0.8883 eucl=0.6062 mahaT=0.5920 mahaPC=0.5700

----- lejepa (augmentations only) -----
  [sigreg-ssl] epoch 1/120  inv=0.0103  sigreg=0.5938
  [sigreg-ssl] epoch 2/120  inv=0.0489  sigreg=0.2553
  [sigreg-ssl] epoch 3/120  inv=0.0447  sigreg=0.1964
  [sigreg-ssl] epoch 4/120  inv=0.0409  sigreg=0.1700
  [sigreg-ssl] epoch 5/120  inv=0.0388  sigreg=0.1683
  [sigreg-ssl] epoch 6/120  inv=0.0364  sigreg=0.1602
  [sigreg-ssl] epoch 7/120  inv=0.0364  sigreg=0.1502
  [sigreg-ssl] epoch 8/120  inv=0.0364  sigreg=0.1359
  [sigreg-ssl] epoch 9/120  inv=0.0367  sigreg=0.1325
  [sigreg-ssl] epoch 10/120  inv=0.0384  sigreg=0.1207
  [sigreg-ssl] epoch 11/120  inv=0.0426  sigreg=0.1229
  [sigreg-ssl] epoch 12/120  inv=0.0419  sigreg=0.1218
  [sigreg-ssl] epoch 13/120  inv=0.0450  sigreg=0.1048
  [sigreg-ssl] epoch 14/120  inv=0.0463  sigreg=0.0972
  [sigreg-ssl] epoch 15/120  inv=0.0454  sigreg=0.0981
  [sigreg-ssl] epoch 16/120  inv=0.0458  sigreg=0.1013
  [sigreg-ssl] epoch 17/120  inv=0.0450  sigreg=0.0911
  [sigreg-ssl] epoch 18/120  inv=0.0446  sigreg=0.0850
  [sigreg-ssl] epoch 19/120  inv=0.0438  sigreg=0.0883
  [sigreg-ssl] epoch 20/120  inv=0.0455  sigreg=0.0858
  [sigreg-ssl] epoch 21/120  inv=0.0441  sigreg=0.0810
  [sigreg-ssl] epoch 22/120  inv=0.0441  sigreg=0.0834
  [sigreg-ssl] epoch 23/120  inv=0.0457  sigreg=0.0802
  [sigreg-ssl] epoch 24/120  inv=0.0458  sigreg=0.0750
  [sigreg-ssl] epoch 25/120  inv=0.0434  sigreg=0.0725
  [sigreg-ssl] epoch 26/120  inv=0.0442  sigreg=0.0802
  [sigreg-ssl] epoch 27/120  inv=0.0440  sigreg=0.0785
  [sigreg-ssl] epoch 28/120  inv=0.0442  sigreg=0.0761
  [sigreg-ssl] epoch 29/120  inv=0.0426  sigreg=0.0800
  [sigreg-ssl] epoch 30/120  inv=0.0410  sigreg=0.0811
  [sigreg-ssl] epoch 31/120  inv=0.0424  sigreg=0.0751
  [sigreg-ssl] epoch 32/120  inv=0.0417  sigreg=0.0750
  [sigreg-ssl] epoch 33/120  inv=0.0413  sigreg=0.0754
  [sigreg-ssl] epoch 34/120  inv=0.0417  sigreg=0.0719
  [sigreg-ssl] epoch 35/120  inv=0.0400  sigreg=0.0762
  [sigreg-ssl] epoch 36/120  inv=0.0408  sigreg=0.0712
  [sigreg-ssl] epoch 37/120  inv=0.0416  sigreg=0.0666
  [sigreg-ssl] epoch 38/120  inv=0.0403  sigreg=0.0721
  [sigreg-ssl] epoch 39/120  inv=0.0414  sigreg=0.0707
  [sigreg-ssl] epoch 40/120  inv=0.0397  sigreg=0.0678
  [sigreg-ssl] epoch 41/120  inv=0.0406  sigreg=0.0675
  [sigreg-ssl] epoch 42/120  inv=0.0406  sigreg=0.0703
  [sigreg-ssl] epoch 43/120  inv=0.0401  sigreg=0.0681
  [sigreg-ssl] epoch 44/120  inv=0.0404  sigreg=0.0657
  [sigreg-ssl] epoch 45/120  inv=0.0399  sigreg=0.0657
  [sigreg-ssl] epoch 46/120  inv=0.0396  sigreg=0.0706
  [sigreg-ssl] epoch 47/120  inv=0.0390  sigreg=0.0654
  [sigreg-ssl] epoch 48/120  inv=0.0397  sigreg=0.0680
  [sigreg-ssl] epoch 49/120  inv=0.0387  sigreg=0.0668
  [sigreg-ssl] epoch 50/120  inv=0.0387  sigreg=0.0652
  [sigreg-ssl] epoch 51/120  inv=0.0388  sigreg=0.0642
