/home/pharris/venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
exp77 [aircraft_visreg] 9 spaces: ['frozen', 'supcon-ft', 'ss-ft', 'supcon-ft-res', 'supcon-ft-res-cat', 'ss-ft-res', 'ss-ft-res-cat', 'supcon-ft-resnplm', 'supcon-ft-resnplm-cat']

  space                      TwoNN-ID LID seen LID hold  LID-AUC
  frozen                        14.74    15.87    15.37    0.489
  supcon-ft                     10.89    11.55    12.92    0.595
  ss-ft                         11.29    11.88    13.17    0.577
  supcon-ft-res                  7.40     7.71     8.70    0.595
  supcon-ft-res-cat              9.61    10.13    12.11    0.657
  ss-ft-res                      7.19     7.49     6.99    0.455
  ss-ft-res-cat                  9.49    10.38    11.49    0.573
  supcon-ft-resnplm              9.81     8.61     9.46    0.589
  supcon-ft-resnplm-cat         11.52    11.73    12.57    0.566
  pairwise row done: frozen
  pairwise row done: supcon-ft
  pairwise row done: ss-ft
  pairwise row done: supcon-ft-res
  pairwise row done: supcon-ft-res-cat
  pairwise row done: ss-ft-res
  pairwise row done: ss-ft-res-cat
  pairwise row done: supcon-ft-resnplm
  pairwise row done: supcon-ft-resnplm-cat

===== EXP77 SUMMARY [aircraft_visreg] (n=4000, k=10) =====
  A vs B                                       cka     knn  lleA>B    proc   r2A>B  calA>B
  frozen vs supcon-ft                        0.110   0.055   0.948     nan   0.807   0.693
  frozen vs ss-ft                            0.100   0.061   0.955     nan   0.725   0.664
  frozen vs supcon-ft-res                    0.238   0.115   0.908     nan   0.794   0.604
  frozen vs supcon-ft-res-cat                0.169   0.091   0.936     nan   0.802   0.667
  frozen vs ss-ft-res                        0.305   0.154   0.897     nan   0.744   0.540
  frozen vs ss-ft-res-cat                    0.206   0.127   0.940     nan   0.733   0.626
  frozen vs supcon-ft-resnplm                0.102   0.031   0.948     nan   0.778   0.714
  frozen vs supcon-ft-resnplm-cat            0.109   0.051   0.948     nan   0.794   0.709
  supcon-ft vs ss-ft                         0.785   0.242   0.981   0.358   0.752   0.718
  supcon-ft vs supcon-ft-res                 0.724   0.154   0.909   0.412   0.764   0.596
  supcon-ft vs supcon-ft-res-cat             0.962   0.397   0.864     nan   0.905   0.689
  supcon-ft vs ss-ft-res                     0.301   0.061   0.972   0.781   0.482   0.368
  supcon-ft vs ss-ft-res-cat                 0.730   0.190   0.976     nan   0.640   0.588
  supcon-ft vs supcon-ft-resnplm             0.900   0.258   0.913   0.192   0.921   0.798
  supcon-ft vs supcon-ft-resnplm-cat         0.978   0.680   0.835     nan   0.966   0.779
  ss-ft vs supcon-ft-res                     0.604   0.143   0.954   0.534   0.676   0.611
  ss-ft vs supcon-ft-res-cat                 0.770   0.242   0.966     nan   0.755   0.702
  ss-ft vs ss-ft-res                         0.358   0.072   0.968   0.722   0.517   0.346
  ss-ft vs ss-ft-res-cat                     0.919   0.289   0.921     nan   0.800   0.477
  ss-ft vs supcon-ft-resnplm                 0.759   0.160   1.000   0.415   0.842   0.787
  ss-ft vs supcon-ft-resnplm-cat             0.793   0.238   0.984     nan   0.822   0.771
  supcon-ft-res vs supcon-ft-res-cat         0.884   0.363   0.944     nan   0.862   0.535
  supcon-ft-res vs ss-ft-res                 0.506   0.162   0.974   0.569   0.638   0.337
  supcon-ft-res vs ss-ft-res-cat             0.678   0.270   1.029     nan   0.643   0.434
  supcon-ft-res vs supcon-ft-resnplm         0.747   0.089   1.018   0.488   0.811   0.737
  supcon-ft-res vs supcon-ft-resnplm-cat     0.754   0.143   1.021     nan   0.788   0.699
  supcon-ft-res-cat vs ss-ft-res             0.403   0.112   0.914     nan   0.698   0.355
  supcon-ft-res-cat vs ss-ft-res-cat         0.761   0.314   0.940   0.389   0.757   0.494
  supcon-ft-res-cat vs supcon-ft-resnplm     0.904   0.185   0.901     nan   0.936   0.800
  supcon-ft-res-cat vs supcon-ft-resnplm-cat   0.959   0.359   0.845   0.144   0.973   0.780
  ss-ft-res vs ss-ft-res-cat                 0.697   0.239   1.045     nan   0.699   0.444
  ss-ft-res vs supcon-ft-resnplm             0.291   0.033   1.108   0.856   0.509   0.701
  ss-ft-res vs supcon-ft-resnplm-cat         0.304   0.056   1.116     nan   0.500   0.676
  ss-ft-res-cat vs supcon-ft-resnplm         0.706   0.108   0.963     nan   0.861   0.791
  ss-ft-res-cat vs supcon-ft-resnplm-cat     0.737   0.178   0.955   0.480   0.850   0.769
  supcon-ft-resnplm vs supcon-ft-resnplm-cat   0.971   0.366   0.980     nan   0.918   0.805
Done.
