/home/pharris/venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
exp77 [galaxy10_visreg] 13 spaces: ['frozen', 'simclr-ft', 'sigreg-ssl-ft', 'nplm-bil-ft', 'supcon-ft', 'ss-ft', 'nplm-sup-ft', 'supcon-ft-res', 'supcon-ft-res-cat', 'ss-ft-res', 'ss-ft-res-cat', 'supcon-ft-resnplm', 'supcon-ft-resnplm-cat']

  space                      TwoNN-ID LID seen LID hold  LID-AUC
  frozen                        19.31    15.07    14.91    0.491
  simclr-ft                      5.78     5.59     5.59    0.511
  sigreg-ssl-ft                  4.48     3.51     3.67    0.560
  nplm-bil-ft                   10.22     7.33     7.83    0.563
  supcon-ft                      8.83     6.40     5.53    0.354
  ss-ft                          9.92     8.54     9.20    0.525
  nplm-sup-ft                    4.63     3.68     3.26    0.366
  supcon-ft-res                  6.17     5.09     5.36    0.538
  supcon-ft-res-cat              7.91     6.36     6.21    0.473
  ss-ft-res                      6.25     5.55     5.31    0.472
  ss-ft-res-cat                  8.33     6.87     7.25    0.535
  supcon-ft-resnplm              9.07     6.83     5.32    0.288
  supcon-ft-resnplm-cat          9.04     7.04     6.07    0.343
  pairwise row done: frozen
  pairwise row done: simclr-ft
  pairwise row done: sigreg-ssl-ft
  pairwise row done: nplm-bil-ft
  pairwise row done: supcon-ft
  pairwise row done: ss-ft
  pairwise row done: nplm-sup-ft
  pairwise row done: supcon-ft-res
  pairwise row done: supcon-ft-res-cat
  pairwise row done: ss-ft-res
  pairwise row done: ss-ft-res-cat
  pairwise row done: supcon-ft-resnplm
  pairwise row done: supcon-ft-resnplm-cat

===== EXP77 SUMMARY [galaxy10_visreg] (n=1772, k=10) =====
  A vs B                                       cka     knn  lleA>B    proc   r2A>B  calA>B
  frozen vs simclr-ft                        0.294   0.077   0.923     nan   0.880   0.646
  frozen vs sigreg-ssl-ft                    0.319   0.043   0.908     nan   0.926   0.420
  frozen vs nplm-bil-ft                      0.465   0.101   0.837     nan   0.992   0.575
  frozen vs supcon-ft                        0.244   0.027   0.982     nan   0.861   0.641
  frozen vs ss-ft                            0.276   0.044   0.981     nan   0.849   0.602
  frozen vs nplm-sup-ft                      0.234   0.016   0.962     nan   0.933   0.673
  frozen vs supcon-ft-res                    0.290   0.043   0.969     nan   0.887   0.653
  frozen vs supcon-ft-res-cat                0.271   0.042   0.977     nan   0.873   0.650
  frozen vs ss-ft-res                        0.347   0.054   0.959     nan   0.856   0.549
  frozen vs ss-ft-res-cat                    0.335   0.056   0.969     nan   0.853   0.604
  frozen vs supcon-ft-resnplm                0.226   0.030   0.988     nan   0.850   0.652
  frozen vs supcon-ft-resnplm-cat            0.238   0.028   0.985     nan   0.856   0.656
  simclr-ft vs sigreg-ssl-ft                 0.597   0.169   0.815   0.519   0.951   0.323
  simclr-ft vs nplm-bil-ft                   0.323   0.063   1.108   0.822   0.881   0.591
  simclr-ft vs supcon-ft                     0.264   0.043   1.124   0.843   0.700   0.675
  simclr-ft vs ss-ft                         0.275   0.063   1.127   0.795   0.675   0.645
  simclr-ft vs nplm-sup-ft                   0.230   0.026   1.146   0.913   0.857   0.729
  simclr-ft vs supcon-ft-res                 0.339   0.119   1.046   0.694   0.792   0.665
  simclr-ft vs supcon-ft-res-cat             0.305   0.107   1.093     nan   0.744   0.673
  simclr-ft vs ss-ft-res                     0.509   0.174   1.002   0.512   0.792   0.440
  simclr-ft vs ss-ft-res-cat                 0.413   0.154   1.070     nan   0.741   0.553
  simclr-ft vs supcon-ft-resnplm             0.250   0.050   1.145   0.864   0.692   0.699
  simclr-ft vs supcon-ft-resnplm-cat         0.261   0.048   1.133     nan   0.696   0.691
  sigreg-ssl-ft vs nplm-bil-ft               0.485   0.050   1.021   0.687   0.870   0.608
  sigreg-ssl-ft vs supcon-ft                 0.394   0.028   1.079   0.750   0.603   0.616
  sigreg-ssl-ft vs ss-ft                     0.374   0.034   1.075   0.749   0.576   0.594
  sigreg-ssl-ft vs nplm-sup-ft               0.416   0.019   1.060   0.765   0.809   0.710
  sigreg-ssl-ft vs supcon-ft-res             0.504   0.069   1.015   0.606   0.698   0.585
  sigreg-ssl-ft vs supcon-ft-res-cat         0.455   0.058   1.052     nan   0.649   0.600
  sigreg-ssl-ft vs ss-ft-res                 0.614   0.091   0.985   0.547   0.679   0.409
  sigreg-ssl-ft vs ss-ft-res-cat             0.524   0.079   1.030     nan   0.634   0.499
  sigreg-ssl-ft vs supcon-ft-resnplm         0.387   0.029   1.086   0.770   0.608   0.645
  sigreg-ssl-ft vs supcon-ft-resnplm-cat     0.396   0.028   1.082     nan   0.605   0.630
  nplm-bil-ft vs supcon-ft                   0.392   0.019   1.154   0.770   0.447   0.679
  nplm-bil-ft vs ss-ft                       0.343   0.028   1.148   0.775   0.433   0.606
  nplm-bil-ft vs nplm-sup-ft                 0.481   0.012   1.082   0.647   0.655   0.652
  nplm-bil-ft vs supcon-ft-res               0.491   0.032   1.124   0.706   0.502   0.688
  nplm-bil-ft vs supcon-ft-res-cat           0.448   0.031   1.141     nan   0.474   0.684
  nplm-bil-ft vs ss-ft-res                   0.449   0.042   1.105   0.770   0.405   0.696
  nplm-bil-ft vs ss-ft-res-cat               0.425   0.041   1.123     nan   0.417   0.663
  nplm-bil-ft vs supcon-ft-resnplm           0.387   0.022   1.163   0.765   0.464   0.711
  nplm-bil-ft vs supcon-ft-resnplm-cat       0.395   0.021   1.158     nan   0.455   0.695
  supcon-ft vs ss-ft                         0.791   0.110   1.092   0.234   0.885   0.737
  supcon-ft vs nplm-sup-ft                   0.785   0.045   1.086   0.433   0.963   0.781
  supcon-ft vs supcon-ft-res                 0.910   0.111   0.922   0.218   0.912   0.712
  supcon-ft vs supcon-ft-res-cat             0.981   0.220   0.868     nan   0.957   0.719
  supcon-ft vs ss-ft-res                     0.630   0.068   1.026   0.591   0.700   0.563
  supcon-ft vs ss-ft-res-cat                 0.782   0.098   1.042     nan   0.782   0.687
  supcon-ft vs supcon-ft-resnplm             0.949   0.222   0.974   0.070   0.973   0.757
  supcon-ft vs supcon-ft-resnplm-cat         0.988   0.560   0.742     nan   0.987   0.740
  ss-ft vs nplm-sup-ft                       0.586   0.041   1.055   0.571   0.949   0.743
  ss-ft vs supcon-ft-res                     0.740   0.120   0.964   0.313   0.878   0.658
  ss-ft vs supcon-ft-res-cat                 0.786   0.149   0.977     nan   0.907   0.680
  ss-ft vs ss-ft-res                         0.686   0.112   0.982   0.501   0.744   0.513
  ss-ft vs ss-ft-res-cat                     0.935   0.210   0.925     nan   0.857   0.600
  ss-ft vs supcon-ft-resnplm                 0.748   0.104   1.056   0.265   0.931   0.724
  ss-ft vs supcon-ft-resnplm-cat             0.780   0.115   1.021     nan   0.933   0.711
  nplm-sup-ft vs supcon-ft-res               0.790   0.044   1.203   0.497   0.639   0.704
  nplm-sup-ft vs supcon-ft-res-cat           0.806   0.050   1.199     nan   0.684   0.659
  nplm-sup-ft vs ss-ft-res                   0.518   0.035   1.246   0.760   0.360   0.772
  nplm-sup-ft vs ss-ft-res-cat               0.604   0.043   1.243     nan   0.486   0.690
  nplm-sup-ft vs supcon-ft-resnplm           0.819   0.041   1.192   0.381   0.772   0.650
  nplm-sup-ft vs supcon-ft-resnplm-cat       0.812   0.045   1.192     nan   0.748   0.635
  supcon-ft-res vs supcon-ft-res-cat         0.973   0.481   0.808     nan   0.973   0.670
  supcon-ft-res vs ss-ft-res                 0.732   0.211   0.965   0.367   0.844   0.401
  supcon-ft-res vs ss-ft-res-cat             0.801   0.246   1.015     nan   0.857   0.563
  supcon-ft-res vs supcon-ft-resnplm         0.894   0.110   1.048   0.248   0.940   0.733
  supcon-ft-res vs supcon-ft-resnplm-cat     0.914   0.121   1.001     nan   0.944   0.726
  supcon-ft-res-cat vs ss-ft-res             0.693   0.183   0.949     nan   0.872   0.392
  supcon-ft-res-cat vs ss-ft-res-cat         0.809   0.245   0.993   0.285   0.890   0.564
  supcon-ft-res-cat vs supcon-ft-resnplm     0.945   0.172   0.933     nan   0.980   0.745
  supcon-ft-res-cat vs supcon-ft-resnplm-cat   0.976   0.225   0.729   0.099   0.990   0.739
  ss-ft-res vs ss-ft-res-cat                 0.900   0.505   0.883     nan   0.927   0.405
  ss-ft-res vs supcon-ft-resnplm             0.593   0.073   1.065   0.627   0.845   0.678
  ss-ft-res vs supcon-ft-resnplm-cat         0.620   0.074   1.059     nan   0.847   0.674
  ss-ft-res-cat vs supcon-ft-resnplm         0.738   0.102   1.034     nan   0.944   0.717
  ss-ft-res-cat vs supcon-ft-resnplm-cat     0.771   0.105   0.995   0.414   0.946   0.713
  supcon-ft-resnplm vs supcon-ft-resnplm-cat   0.986   0.319   0.833     nan   0.984   0.742
Done.
